Date_Param,Province_Name,Price
2022-01-07,Kalimantan Tengah,13850.0
2022-01-07,Kalimantan Timur,12200.0
2022-01-07,Kalimantan Utara,13450.0
2022-01-07,Gorontalo,11000.0
2022-01-07,Sulawesi Selatan,9900.0
2022-01-07,Sulawesi Tenggara,10950.0
2022-01-07,Sulawesi Tengah,10600.0
2022-01-07,Sulawesi Utara,11250.0
2022-01-07,Sulawesi Barat,9750.0
2022-01-07,Maluku,13150.0
2022-01-07,Maluku Utara,12650.0
2022-01-07,Papua,12150.0
2022-01-07,Papua Barat,13000.0
2022-01-08,Aceh,10400.0
2022-01-08,Sumatera Utara,11150.0
2022-01-08,Sumatera Barat,13200.0
2022-01-08,Riau,12250.0
2022-01-08,Kepulauan Riau,13200.0
2022-01-08,Jambi,11800.0
2022-01-08,Bengkulu,11300.0
2022-01-08,Sumatera Selatan,11400.0
2022-01-08,Kepulauan Bangka Belitung,11400.0
2022-01-08,Lampung,11300.0
2022-01-08,Banten,11550.0
2022-01-08,Jawa Barat,11300.0
2022-01-08,DKI Jakarta,13550.0
2022-01-08,Jawa Tengah,10950.0
2022-01-08,DI Yogyakarta,11250.0
2022-01-08,Jawa Timur,10500.0
2022-01-08,Bali,11350.0
2022-01-08,Nusa Tenggara Barat,9700.0
2022-01-08,Nusa Tenggara Timur,11300.0
2022-01-08,Kalimantan Barat,13350.0
2022-01-08,Kalimantan Selatan,13100.0
2022-01-08,Kalimantan Tengah,13850.0
2022-01-08,Kalimantan Timur,12200.0
2022-01-08,Kalimantan Utara,13450.0
2022-01-08,Gorontalo,11000.0
2022-01-08,Sulawesi Selatan,9900.0
2022-01-08,Sulawesi Tenggara,10950.0
2022-01-08,Sulawesi Tengah,10600.0
2022-01-08,Sulawesi Utara,11250.0
2022-01-08,Sulawesi Barat,9750.0
2022-01-08,Maluku,13150.0
2022-01-08,Maluku Utara,12650.0
2022-01-08,Papua,12150.0
2022-01-08,Papua Barat,13000.0
2022-01-09,Aceh,10400.0
2022-01-09,Sumatera Utara,11150.0
2022-01-09,Sumatera Barat,13200.0
2022-01-09,Riau,12250.0
2022-01-09,Kepulauan Riau,13200.0
2022-01-09,Jambi,11800.0
2022-01-09,Bengkulu,11300.0
2022-01-09,Sumatera Selatan,11400.0
2022-01-09,Kepulauan Bangka Belitung,11400.0
2022-01-09,Lampung,11300.0
2022-01-09,Banten,11550.0
2022-01-09,Jawa Barat,11300.0
2022-01-09,DKI Jakarta,13550.0
2022-01-09,Jawa Tengah,10950.0
2022-01-09,DI Yogyakarta,11250.0
2022-01-09,Jawa Timur,10500.0
2022-01-09,Bali,11350.0
2022-01-09,Nusa Tenggara Barat,9700.0
2022-01-09,Nusa Tenggara Timur,11300.0
2022-01-09,Kalimantan Barat,13350.0
2022-01-09,Kalimantan Selatan,13100.0
2022-01-09,Kalimantan Tengah,13850.0
2022-01-09,Kalimantan Timur,12200.0
2022-01-09,Kalimantan Utara,13450.0
2022-01-09,Gorontalo,11000.0
2022-01-09,Sulawesi Selatan,9900.0
2022-01-09,Sulawesi Tenggara,10950.0
2022-01-09,Sulawesi Tengah,10600.0
2022-01-09,Sulawesi Utara,11250.0
2022-01-09,Sulawesi Barat,9750.0
2022-01-09,Maluku,13150.0
2022-01-09,Maluku Utara,12650.0
2022-01-09,Papua,12150.0
2022-01-09,Papua Barat,13000.0
2022-01-10,Aceh,10400.0
2022-01-10,Sumatera Utara,11150.0
2022-01-10,Sumatera Barat,13200.0
2022-01-10,Riau,12250.0
2022-01-10,Kepulauan Riau,13200.0
2022-01-10,Jambi,11800.0
2022-01-10,Bengkulu,11300.0
2022-01-10,Sumatera Selatan,11400.0
2022-01-10,Kepulauan Bangka Belitung,11400.0
2022-01-10,Lampung,11300.0
2022-01-10,Banten,11550.0
2022-01-10,Jawa Barat,11300.0
2022-01-10,DKI Jakarta,12600.0
2022-01-10,Jawa Tengah,10950.0
2022-01-10,DI Yogyakarta,11250.0
2022-01-10,Jawa Timur,10500.0
2022-01-10,Bali,11400.0
2022-01-10,Nusa Tenggara Barat,9750.0
2022-01-10,Nusa Tenggara Timur,11300.0
2022-01-10,Kalimantan Barat,13350.0
2022-01-10,Kalimantan Selatan,13100.0
2022-01-10,Kalimantan Tengah,13850.0
2022-01-10,Kalimantan Timur,12050.0
2022-01-10,Kalimantan Utara,13450.0
2022-01-10,Gorontalo,11000.0
2022-01-10,Sulawesi Selatan,9900.0
2022-01-10,Sulawesi Tenggara,10950.0
2022-01-10,Sulawesi Tengah,10600.0
2022-01-10,Sulawesi Utara,11250.0
2022-01-10,Sulawesi Barat,9750.0
2022-01-10,Maluku,13150.0
2022-01-10,Maluku Utara,12650.0
2022-01-10,Papua,12100.0
2022-01-10,Papua Barat,13000.0
2022-01-11,Aceh,10350.0
2022-01-11,Sumatera Utara,11150.0
2022-01-11,Sumatera Barat,13200.0
2022-01-11,Riau,12250.0
2022-01-11,Kepulauan Riau,13200.0
2022-01-11,Jambi,11800.0
2022-01-11,Bengkulu,11300.0
2022-01-11,Sumatera Selatan,11400.0
2022-01-11,Kepulauan Bangka Belitung,11400.0
2022-01-11,Lampung,11300.0
2022-01-11,Banten,11550.0
2022-01-11,Jawa Barat,11300.0
2022-01-11,DKI Jakarta,13550.0
2022-01-11,Jawa Tengah,11000.0
2022-01-11,DI Yogyakarta,11250.0
2022-01-11,Jawa Timur,10500.0
2022-01-11,Bali,11400.0
2022-01-11,Nusa Tenggara Barat,9750.0
2022-01-11,Nusa Tenggara Timur,11300.0
2022-01-11,Kalimantan Barat,13350.0
2022-01-11,Kalimantan Selatan,13100.0
2022-01-11,Kalimantan Tengah,13900.0
2022-01-11,Kalimantan Timur,12300.0
2022-01-11,Kalimantan Utara,13400.0
2022-01-11,Gorontalo,11000.0
2022-01-11,Sulawesi Selatan,9900.0
2022-01-11,Sulawesi Tenggara,10950.0
2022-01-11,Sulawesi Tengah,10600.0
2022-01-11,Sulawesi Utara,11250.0
2022-01-11,Sulawesi Barat,9750.0
2022-01-11,Maluku,13150.0
2022-01-11,Maluku Utara,12650.0
2022-01-11,Papua,12100.0
2022-01-11,Papua Barat,13000.0
2022-01-12,Aceh,10350.0
2022-01-12,Sumatera Utara,11150.0
2022-01-12,Sumatera Barat,13200.0
2022-01-12,Riau,12250.0
2022-01-12,Kepulauan Riau,13200.0
2022-01-12,Jambi,11800.0
2022-01-12,Bengkulu,11300.0
2022-01-12,Sumatera Selatan,11400.0
2022-01-12,Kepulauan Bangka Belitung,11550.0
2022-01-12,Lampung,11350.0
2022-01-12,Banten,11550.0
2022-01-12,Jawa Barat,11300.0
2022-01-12,DKI Jakarta,13600.0
2022-01-12,Jawa Tengah,11000.0
2022-01-12,DI Yogyakarta,11250.0
2022-01-12,Jawa Timur,10500.0
2022-01-12,Bali,11550.0
2022-01-12,Nusa Tenggara Barat,9750.0
2022-01-12,Nusa Tenggara Timur,11300.0
2022-01-12,Kalimantan Barat,13350.0
2022-01-12,Kalimantan Selatan,13100.0
2022-01-12,Kalimantan Tengah,13900.0
2022-01-12,Kalimantan Timur,12300.0
2022-01-12,Kalimantan Utara,13400.0
2022-01-12,Gorontalo,11000.0
2022-01-12,Sulawesi Selatan,9950.0
2022-01-12,Sulawesi Tenggara,10950.0
2022-01-12,Sulawesi Tengah,10600.0
2022-01-12,Sulawesi Utara,11250.0
2022-01-12,Sulawesi Barat,9750.0
2022-01-12,Maluku,13150.0
2022-01-12,Maluku Utara,12650.0
2022-01-12,Papua,12100.0
2022-01-12,Papua Barat,13000.0
2022-01-13,Aceh,10350.0
2022-01-13,Sumatera Utara,11200.0
2022-01-13,Sumatera Barat,13200.0
2022-01-13,Riau,12250.0
2022-01-13,Kepulauan Riau,13200.0
2022-01-13,Jambi,11800.0
2022-01-13,Bengkulu,11350.0
2022-01-13,Sumatera Selatan,11400.0
2022-01-13,Kepulauan Bangka Belitung,11550.0
2022-01-13,Lampung,11350.0
2022-01-13,Banten,11550.0
2022-01-13,Jawa Barat,11300.0
2022-01-13,DKI Jakarta,13600.0
2022-01-13,Jawa Tengah,11000.0
2022-01-13,DI Yogyakarta,11250.0
2022-01-13,Jawa Timur,10500.0
2022-01-13,Bali,11550.0
2022-01-13,Nusa Tenggara Barat,9750.0
2022-01-13,Nusa Tenggara Timur,11350.0
2022-01-13,Kalimantan Barat,13350.0
2022-01-13,Kalimantan Selatan,13100.0
2022-01-13,Kalimantan Tengah,14000.0
2022-01-13,Kalimantan Timur,12300.0
2022-01-13,Kalimantan Utara,13400.0
2022-01-13,Gorontalo,11000.0
2022-01-13,Sulawesi Selatan,9950.0
2022-01-13,Sulawesi Tenggara,10950.0
2022-01-13,Sulawesi Tengah,10600.0
2022-01-13,Sulawesi Utara,11250.0
2022-01-13,Sulawesi Barat,9750.0
2022-01-13,Maluku,13150.0
2022-01-13,Maluku Utara,12650.0
2022-01-13,Papua,12100.0
2022-01-13,Papua Barat,13000.0
2022-01-14,Aceh,10350.0
2022-01-14,Sumatera Utara,11200.0
2022-01-14,Sumatera Barat,13200.0
2022-01-14,Riau,12250.0
2022-01-14,Kepulauan Riau,13100.0
2022-01-14,Jambi,11800.0
2022-01-14,Bengkulu,11500.0
2022-01-14,Sumatera Selatan,11400.0
2022-01-14,Kepulauan Bangka Belitung,11550.0
2022-01-14,Lampung,11350.0
2022-01-14,Banten,11550.0
2022-01-14,Jawa Barat,11300.0
2022-01-14,DKI Jakarta,13600.0
2022-01-14,Jawa Tengah,11000.0
2022-01-14,DI Yogyakarta,11250.0
2022-01-14,Jawa Timur,10550.0
2022-01-14,Bali,11550.0
2022-01-14,Nusa Tenggara Barat,9750.0
2022-01-14,Nusa Tenggara Timur,11400.0
2022-01-14,Kalimantan Barat,13350.0
2022-01-14,Kalimantan Selatan,13100.0
2022-01-14,Kalimantan Tengah,14000.0
2022-01-14,Kalimantan Timur,12300.0
2022-01-14,Kalimantan Utara,13400.0
2022-01-14,Gorontalo,11000.0
2022-01-14,Sulawesi Selatan,9950.0
2022-01-14,Sulawesi Tenggara,10950.0
2022-01-14,Sulawesi Tengah,10600.0
2022-01-14,Sulawesi Utara,11250.0
2022-01-14,Sulawesi Barat,9750.0
2022-01-14,Maluku,13150.0
2022-01-14,Maluku Utara,12650.0
2022-01-14,Papua,12100.0
2022-01-14,Papua Barat,13000.0
2022-01-17,Aceh,10350.0
2022-01-17,Sumatera Utara,11200.0
2022-01-17,Sumatera Barat,13200.0
2022-01-17,Riau,12250.0
2022-01-17,Kepulauan Riau,13100.0
2022-01-17,Jambi,11800.0
2022-01-17,Bengkulu,11500.0
2022-01-17,Sumatera Selatan,11400.0
2022-01-17,Kepulauan Bangka Belitung,11550.0
2022-01-17,Lampung,11350.0
2022-01-17,Banten,11550.0
2022-01-17,Jawa Barat,11350.0
2022-01-17,DKI Jakarta,13550.0
2022-01-17,Jawa Tengah,10950.0
2022-01-17,DI Yogyakarta,11250.0
2022-01-17,Jawa Timur,10550.0
2022-01-17,Bali,11550.0
2022-01-17,Nusa Tenggara Barat,9750.0
2022-01-17,Nusa Tenggara Timur,11400.0
2022-01-17,Kalimantan Barat,13350.0
2022-01-17,Kalimantan Selatan,13150.0
2022-01-17,Kalimantan Tengah,14000.0
2022-01-17,Kalimantan Timur,12300.0
2022-01-17,Kalimantan Utara,13400.0
2022-01-17,Gorontalo,11000.0
2022-01-17,Sulawesi Selatan,9950.0
2022-01-17,Sulawesi Tenggara,10950.0
2022-01-17,Sulawesi Tengah,10600.0
2022-01-17,Sulawesi Utara,11250.0
2022-01-17,Sulawesi Barat,9800.0
2022-01-17,Maluku,13150.0
2022-01-17,Maluku Utara,12650.0
2022-01-17,Papua,12100.0
2022-01-17,Papua Barat,13000.0
2022-01-18,Aceh,10350.0
2022-01-18,Sumatera Utara,11200.0
2022-01-18,Sumatera Barat,13200.0
2022-01-18,Riau,12300.0
2022-01-18,Kepulauan Riau,13100.0
2022-01-18,Jambi,11800.0
2022-01-18,Bengkulu,11550.0
2022-01-18,Sumatera Selatan,11400.0
2022-01-18,Kepulauan Bangka Belitung,11550.0
2022-01-18,Lampung,11350.0
2022-01-18,Banten,11550.0
2022-01-18,Jawa Barat,11350.0
2022-01-18,DKI Jakarta,13550.0
2022-01-18,Jawa Tengah,10950.0
2022-01-18,DI Yogyakarta,11250.0
2022-01-18,Jawa Timur,10550.0
2022-01-18,Bali,11650.0
2022-01-18,Nusa Tenggara Barat,9750.0
2022-01-18,Nusa Tenggara Timur,11400.0
2022-01-18,Kalimantan Barat,13350.0
2022-01-18,Kalimantan Selatan,13150.0
2022-01-18,Kalimantan Tengah,14150.0
2022-01-18,Kalimantan Timur,12300.0
2022-01-18,Kalimantan Utara,13400.0
2022-01-18,Gorontalo,11000.0
2022-01-18,Sulawesi Selatan,9950.0
2022-01-18,Sulawesi Tenggara,10950.0
2022-01-18,Sulawesi Tengah,10600.0
2022-01-18,Sulawesi Utara,11250.0
2022-01-18,Sulawesi Barat,9800.0
2022-01-18,Maluku,13150.0
2022-01-18,Maluku Utara,12650.0
2022-01-18,Papua,12100.0
2022-01-18,Papua Barat,13000.0
